Freature Name,Feature Name AR,Feature Description AR,Feature Description EN
Fractal Dimension Mean,البعد الكسوري المتوسط, A mathematical measure of the complexity of the tumor boundary. Higher values indicate more intricate shapes,قياس رياضي لتعقيد حدود الورم. القيم الأعلى تشير إلى أشكال أكثر تعقيدًا
Radius SE,نصف القطر بحد ذاته, Represents the standard error of the radius. It quantifies the variability of the radius measurements,يُمثل الانحراف المعياري لنصف القطر. يقيس التباين في قياسات النصف القطر
Texture SE,الملمس بحد ذاته," Similar to radius SE, but for texture. It assesses the variability in texture measurements",مماثل لـ نصف القطر بحد ذاته، ولكن للملمس. يقيس التباين في قياسات الملمس
Perimeter SE,المحيط ذاته, Standard error of the perimeter. Measures the uncertainty in perimeter estimates,الانحراف المعياري للمحيط. يقيس عدم اليقين في تقديرات المحيط
Area SE,المنطقة بحد ذاتها, Standard error of the area. Reflects the variability in area measurements,الانحراف المعياري للمنطقة. يعكس التباين في قياسات المنطقة
Smoothness SE,النعومة بحد ذاتها, Standard error of smoothness. Indicates the uncertainty in smoothness measurements,الانحراف المعياري للنعومة. يشير إلى عدم اليقين في قياسات النعومة
Compactness SE,الانضغاط بحد ذاته, Standard error of compactness. Measures the variability in compactness values,الانحراف المعياري للانضغاط. يقيس التباين في قيم الانضغاط
Concavity SE,التقعر بحد ذاته, Standard error of concavity. Reflects the uncertainty in concavity measurements,الانحراف المعياري للتقعر. يعكس عدم اليقين في قياسات التقعر
Concave Points SE,النقاط المقعرة بحد ذاتها, Standard error of concave points. Quantifies the variability in these points,الانحراف المعياري للنقاط المقعرة. يقيس التباين في هذه النقاط
Symmetry SE,التماثل في حد ذاته,Standard error of symmetry. Represents the uncertainty in symmetry measurements,الانحراف المعياري للتماثل. يمثل عدم اليقين في قياسات التماثل
Fractal Dimension SE,البعد الكسوري بحد ذاته,Standard error of fractal dimension. Indicates the variability in fractal dimension values,الانحراف المعياري للبعد الكسوري. يشير إلى التباين في قيم البعد الكسوري
Radius Worst,نصف القطر أسوأ, Describes the worst (largest) value of the radius. It provides insights into the most significant tumor size,يُمثل القيمة الأسوأ (الأكبر) لنصف القطر. يوفر رؤى حول أكبر حجم للورم
Texture Worst,الملمس الأسوأ," Similar to radius worst, but for texture. Represents the worst-case texture value",مماثل لـ نصف القطر أسوأ، ولكن للملمس. يُمثل قيمة الملمس الأسوأ
Perimeter Worst,أسوأ محيط, Worst perimeter value. Reflects the most extensive tumor boundary,أسوأ قيمة للمحيط. يعكس الحدود الأكثر انتشارًا للورم
Area Worst,المنطقة الأسوأ,"  ,Worst area value. Indicates the largest tumor area",أسوأ قيمة للمنطقة. تشير إلى أكبر منطقة للورم
Smoothness Worst,النعومة أسوأ,"  ,Worst smoothness value. Describes the most irregular texture",أسوأ قيمة للنعومة. يصف التموج الأكثر عدم انتظامًا
Compactness Worst,الضغط الأسوأ,"  ,Worst compactness value. Represents the most densely packed tumor cells",أسوأ قيمة للانضغاط. يُمثل الخلايا الورمية الأكثر كثافة
Concavity Worst,التقعر الأسوأ,"  ,Worst concavity value. Indicates the most pronounced concave regions",أسوأ قيمة للتقعر. يشير إلى أكثر المناطق المقعرة وضوحًا
Concave Points Worst,النقاط المقعرة الأسوأ,"  ,Worst concave points value. Reflects the highest number of concave points",أسوأ قيمة للنقاط المقعرة. يعكس أعلى عدد من النقاط المقعرة
Symmetry Worst,أسوأ تناظر, Worst symmetry value. Describes the most irregular tumor shape,يصف أسوأ قيمة للتناظر. شكل الورم الأكثر عدم انتظامًا
Fractal Dimension Worst,البعد الكسوري الأسوأ,Worst fractal dimension value. Represents the most complex tumor boundary,يُمثل أسوأ قيمة للبعد الكسوري. يمثل الحدود الورمية الأكثر تعقيدًا
